number,coreid,refcode,name,mofid-v1,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
11,2023[Zn][eta]3[FSR]2,advs5490-sup-0002-suppmat_2_FSR_pacman,-,"CCC1=NC(=C([N]1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C)C=NC1CCCCC1N=CC1=C(C)[N]C(=N1)CC.CCC1=N[C](C(=N1)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC)C.[Zn]Br MOFid-v1.qtz,unknown.cat0;advs5490-sup-0002-suppmat_2_FSR_pacman",7.24464,6.56289,7.24464,1.07529,2025.61,1699.78,1580.76,0,0,0,7448.07,0.625,0.581236,0,0,0,3,eta,unnamed,eta,unnamed,1,3,-P 1,2,Zn,Yes,Zn,PACMAN-DDEC6,11.08697448,0.792852487,0.038936109,0.845386516,0.057978158,0.894004912,0.060074418,0.001280379,0.427640955,696,SI,10.1002/advs.202207333,2023,2023/4/18,WILEY,Free Solvent Removed,FALSE,398.7,0.058986545,0.636153846,weak,
12,2023[Cd][eta]3[FSR]1,advs5490-sup-0002-suppmat_4_FSR_pacman,-,"Br[Cd].CCC1=N[C](C(=N1)C)C=NC1CCCCC1N=C[C]1N=C(N=C1C)CC MOFid-v1.qtz,unknown.cat0;advs5490-sup-0002-suppmat_4_FSR_pacman",7.57435,6.80047,7.56578,1.11962,1225.98,1869.04,1669.35,0,0,0,4284.61,0.6532,0.583412,0,0,0,3,eta,unnamed,eta,unnamed,1,3,-P 2ybc,14,Cd,Yes,Cd,PACMAN-DDEC6,12.7087331,0.688170242,0.02750008,0.734889621,0.055406556,0.77464753,0.060656474,0.001277859,0.420899941,348,SI,10.1002/advs.202207333,2023,2023/4/18,WILEY,Free Solvent Removed,FALSE,309,0.3870494,0.857692308,strong,
13,2018[Zn][pcu]3[FSR]1,ae8b01428_si_002_FSR_pacman,-,[O-]C(=O)c1cc(Nc2ccccc2)c(cc1Nc1ccccc1)C(=O)[O-].[Zn][O]1[Zn][O]([Zn]1)[Zn] MOFid-v1.pcu.cat0;ae8b01428_si_002_FSR_pacman,5.61946,4.24797,5.61277,1.0974,624.185,1269.28,1156.62,0,0,0,2613.24,0.5314,0.484235,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,P 61,169,Zn,No,N/A,PACMAN-DDEC6,9.33851954,0.95695075,0.028592031,1.043896749,0.054624885,1.099810959,0.062169862,0.001232918,0.326665734,348,SI,10.1021/acsaem.8b01428,2018,2018/11/29,ACS,Free Solvent Removed,FALSE,339.7,0.7829445,0.76,strong,
14,2020[TbIn][nan]3[FSR]1,am0c07061_si_002_FSR_pacman,-,[In].[O-]C(=O)c1cc(ccc1[C]1NC(=CC(=C1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-].[Tb] MOFid-v1.unknown.cat0;am0c07061_si_002_FSR_pacman,8.61603,6.66351,8.59601,1.14162,765.973,1681.92,1473.28,0,0,0,2751.61,0.6042,0.529248,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,P 2 2ab,18,"Tb,In",No,N/A,PACMAN-DDEC6,14.10341315,0.722409544,0.022433962,0.812309736,0.032312347,0.868522043,0.037621456,0.001489754,0.447250626,222,SI,10.1021/acsami.0c07061,2020,2020/5/28,ACS,Free Solvent Removed,TRUE,361.4,0.7815947,0.75,strong,
15,2020[Co][cds]3[FSR]1,am0c09912_si_002_FSR_pacman,-,O=C(c1ccncc1)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccncc1.[Co][Co].[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR.cat0;am0c09912_si_002_FSR_pacman,7.68226,5.73122,7.68201,0.993824,1201.43,1517.09,1526.52,0,0,0,4696.16,0.593,0.596685,0,0,0,3,cds,unnamed,cds,unnamed,1,3,-C 2yc,15,Co,No,N/A,PACMAN-DDEC6,10.67481937,0.890793577,0.02227705,1.007502543,0.03257061,1.046503406,0.037410495,0.001300712,0.284636083,444,SI,10.1021/acsami.0c09912,2020,2020/8/27,ACS,Free Solvent Removed,FALSE,321.7,0.9094957,0.61,none,
16,2020[Co][fsc]3[FSR]1,am0c12992_si_002_FSR_pacman,-,"OC(=O)c1cc(C(=O)O)c(cc1N1[N]C=N[CH]1)N1[N]C=N[CH]1.[Co].[O-]C(=O)c1cc(C(=O)[O-])c(cc1N1[N]C=N[CH]1)N1[N]C=N[CH]1.[O-]C(=O)c1cc(C(=O)[O-])c(cc1N1[N]C=N[CH]1)n1ncnc1 MOFid-v1.fsc,sql.cat0;am0c12992_si_002_FSR_pacman",6.07235,3.93851,6.07235,1.18268,500.594,1355.89,1146.45,0,0,0,1906.55,0.5164,0.436635,0,0,0,3,fsc,unnamed,fsc,unnamed,1,3,-F 4 2 3,225,Co,No,N/A,PACMAN-DDEC6,11.1419789,0.899411814,0.021369733,1.012341573,0.034451391,1.076306111,0.03634878,0.001463504,0.386706424,236,SI,10.1021/acsami.0c12992,2020,2020/9/3,ACS,Free Solvent Removed,TRUE,345.2,0.44074807,0.739545455,weak,
17,2020[Ni][kgd]2[FSR]1,am0c13563_si_002_FSR_pacman,-,unknown,8.74454,4.76382,8.20215,0.77079,421.522,1832.24,2377.09,0,0,0,1442.47,0.627,0.813451,0,0,0,2,kgd,unnamed,kgd,unnamed,1,2,-C 2yc,15,Ni,No,N/A,PACMAN-DDEC6,8.408355276,0.954963563,0.02212495,1.053472522,0.032760841,1.116519708,0.037605371,0.001607786,0.35124755,127,SI,10.1021/acsami.0c13563,2020,2020/8/24,ACS,Free Solvent Removed,TRUE,343.8,0.15564895,0.86,weak,
18,2020[Ce][pts]3[FSR]1,am0c15395_si_002_FSR_pacman,-,O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.O=[C]1=NC2=[N]=[C](=O)N=C3N2C(=[N]=[C](=O)[N]3)[N]1.[OH2][Ce][OH2] MOFid-v1.pts.cat0;am0c15395_si_002_FSR_pacman,5.63612,5.51673,5.63612,1.70401,206.924,1346.46,790.171,0,0,0,786.533,0.5118,0.30035,0,0,0,3,pts-x,unnamed,pts-x,unnamed,1,3,-P 2ybc,14,Ce,No,N/A,PACMAN-DDEC6,17.14155913,0.633212827,0.022200164,0.704088545,0.032140114,0.754816755,0.037871314,0.001601411,0.378127162,92,SI,10.1021/acsami.0c15395,2020,2020/10/26,ACS,Free Solvent Removed,FALSE,432.7,0.6452513,0.6,weak,
19,2020[Pr][pts]3[FSR]1,am0c15395_si_003_FSR_pacman,-,O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.O=[C]1=NC2=[N]=[C](=O)N=C3N2C(=[N]=[C](=O)[N]3)[N]1.[OH2][Pr][OH2] MOFid-v1.pts.cat0;am0c15395_si_003_FSR_pacman,5.58351,5.46174,5.58351,1.72802,202.303,1332.26,770.978,0,0,0,779.595,0.5134,0.297104,0,0,0,3,pts-x,unnamed,pts-x,unnamed,1,3,-P 2c 2b,57,Pr,No,N/A,PACMAN-DDEC6,17.1759787,0.635995559,0.016130113,0.702229401,0.03187179,0.748491064,0.035977089,0.001893393,0.357942964,92,SI,10.1021/acsami.0c15395,2020,2020/10/26,ACS,Free Solvent Removed,FALSE,397.5,0.7314103,0.59,weak,
20,2020[La][pts]3[FSR]1,am0c15395_si_004_FSR_pacman,-,O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.O=[C]1=NC2=[N]=[C](=O)N=C3N2C(=[N]=[C](=O)[N]3)[N]1.[OH2][La][OH2] MOFid-v1.pts.cat0;am0c15395_si_004_FSR_pacman,5.68542,5.52197,5.68542,1.68393,212.137,1368.32,812.573,0,0,0,806.182,0.52,0.308801,0,0,0,3,pts-x,unnamed,pts-x,unnamed,1,3,-R 3,148,La,No,N/A,PACMAN-DDEC6,17.08892739,0.633693545,0.015757761,0.708755851,0.032661445,0.751858395,0.036406124,0.000716996,0.336934473,92,SI,10.1021/acsami.0c15395,2020,2020/10/26,ACS,Free Solvent Removed,FALSE,401.8,0.6784809,0.57,weak,
21,2020[Cu][ant]2[FSR]1,am0c17875_si_002_FSR_pacman,-,N1=C[N]N([CH]1)c1ccc(cc1)C1=NN=N[N]1.[Cu] MOFid-v1.sql.cat1;am0c17875_si_002_FSR_pacman,4.62691,4.02117,4.6098,1.42679,79.4349,699.404,490.193,0,0,0,455.663,0.4012,0.28119,0,0,0,2,ant,unnamed,ant,unnamed,1,3,P 4cw 2c,95,Cu,Yes,Cu,PACMAN-DDEC6,10.84283733,0.865588829,0.01566811,0.993975553,0.032131945,1.054033053,0.035034321,0.001417158,0.448496663,90,SI,10.1021/acsami.0c17875,2020,2020/12/19,ACS,Free Solvent Removed,FALSE,272.2,0.18232733,0.819655172,weak,
22,2017[Zn][dia]3[FSR]1,am6b11797_si_001_1_FSR_pacman,-,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc2c(s1)cc1c(c2)sc(c1)C(=O)[O-].[Zn] MOFid-v1.dia.cat0;am6b11797_si_001_1_FSR_pacman,5.16535,3.80955,5.16535,1.11292,339.661,1069.9,961.347,0,0,0,1715.61,0.5404,0.485571,0,0,0,3,dia,unnamed,dia,unnamed,4,3,P 4cw 2c,95,Zn,Yes,Zn,PACMAN-DDEC6,10.42966118,0.899554855,0.015979002,1.006193312,0.032720942,1.053915241,0.036527856,0.001135732,0.315387348,204,SI,10.1021/acsami.6b11797,2017,2017/4/18,ACS,Free Solvent Removed,FALSE,316.1,0.8972903,0.220003205,weak,
23,2017[Cd][dia]3[FSR]1,am6b14051_si_002_FSR_pacman,-,"COc1cccc(c1[O])[CH][N]NC(=O)c1ccc(cc1)NC(=O)c1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql,unknown.cat0;am6b14051_si_002_FSR_pacman",6.82055,4.25216,6.81945,1.10711,897.403,1578.65,1425.92,0,0,0,3262.97,0.574,0.518467,0,0,0,3,dia,unnamed,dia,unnamed,2,3,P 4cw 2c,95,Cd,No,N/A,PACMAN-DDEC6,10.89079172,0.853131367,0.016065128,0.938223631,0.032252023,0.989404553,0.035305632,0.001534509,0.355282584,348,SI,10.1021/acsami.6b14051,2017,2017/1/26,ACS,Free Solvent Removed,TRUE,291.1,0.76868635,0.6,weak,
24,2017[Cd][sql]2[FSR]1,am6b14554_si_003_2_FSR_pacman,-,[Cd].[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.sql.cat1;am6b14554_si_003_2_FSR_pacman,4.39877,3.53847,4.39194,1.35224,476.281,785.87,581.162,0,0,0,2699.37,0.4454,0.32938,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-C 2yc,15,Cd,No,N/A,PACMAN-DDEC6,10.45605424,0.870668593,0.016018014,0.965202842,0.03201933,1.025555032,0.03593192,0.001613585,0.352069351,472,SI,10.1021/acsami.6b14554,2017,2017/1/12,ACS,Free Solvent Removed,FALSE,316.4,0.90758246,0.577058824,strong,
25,2017[Cd][sql]2[FSR]2,am6b14554_si_003_3_FSR_pacman,-,[Cd].[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.sql.cat1;am6b14554_si_003_3_FSR_pacman,4.40252,3.44314,4.30991,1.32725,622.755,1008.57,759.891,0,0,0,2821.81,0.457,0.34432,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-C 2y,12,Cd,No,N/A,PACMAN-DDEC6,10.45605424,0.869772983,0.016074139,0.964479358,0.032764317,1.023703743,0.036505391,0.001571685,0.360464051,472,SI,10.1021/acsami.6b14554,2017,2017/1/12,ACS,Free Solvent Removed,FALSE,321.5,0.92933965,0.557058824,weak,
26,2017[Ni][sqc]3[FSR]1,am7b01758_si_002_FSR_pacman,-,[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-].[OH2][Ni] MOFid-v1.unknown.cat1;am7b01758_si_002_FSR_pacman,4.85428,3.67505,4.84574,1.24976,335.117,558.815,447.137,0,0,0,2731,0.4554,0.364389,0,0,0,3,sqc2075,unnamed,unnamed,unnamed,2,3,-P 2ybc,14,Ni,No,N/A,PACMAN-DDEC6,9.727087241,0.926510454,0.018943361,1.038032103,0.024814747,1.086202486,0.012870038,0.001279601,0.345139988,464,SI,10.1021/acsami.7b01758,2017,2017/5/9,ACS,Free Solvent Removed,TRUE,400.5,0.482035,0.84,strong,
27,2017[Co][nan]3[FSR]1,am7b03835_si_002_FSR_pacman,-,O.[Co].[O-]C(=O)c1cc(cc(c1)c1ccc(cc1)C1=NN=N[N]1)C(=O)[O-].[OH] MOFid-v1.ERROR.cat0;am7b03835_si_002_FSR_pacman,4.34469,3.0321,4.33323,1.42645,0,0,0,152.981,687.106,481.69,1071.37,0.4812,0.337341,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,P 2ac 2ab,19,Co,No,N/A,PACMAN-DDEC6,11.95361925,0.834498639,0.018173915,0.942731603,0.025598827,0.98344481,0.013060338,0.001455845,0.418068876,160,SI,10.1021/acsami.7b03835,2017,2017/5/17,ACS,Free Solvent Removed,TRUE,229.5,0.8666451,0.85,strong,
28,2017[Zn][apo]3[FSR]1,am7b04265_si_002_FSR_pacman,-,[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.apo.cat0;am7b04265_si_002_FSR_pacman,6.62246,3.70658,6.57591,1.12099,712.284,1268.88,1131.93,0,0,0,3141.31,0.5596,0.499202,0,0,0,3,apo,unnamed,apo,unnamed,1,3,-P 2ac 2n,62,Zn,No,N/A,PACMAN-DDEC6,11.0157554,0.873274242,0.005930718,0.98667376,0.009702016,1.034053703,0.004537849,0.001423826,0.304090472,344,SI,10.1021/acsami.7b04265,2017,2017/6/1,ACS,Free Solvent Removed,TRUE,397.1,0.92216027,0.58,weak,
29,2017[In][nan]3[FSR]1,am7b09227_si_002_FSR_pacman,-,O[In][OH][In][OH][In]O.[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.unknown.cat0;am7b09227_si_002_FSR_pacman,5.47137,3.17727,5.46697,1.36058,0,0,0,269.961,901.318,662.45,1589.84,0.5308,0.390127,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-I 2b 2c,73,In,No,N/A,PACMAN-DDEC6,13.19421983,0.764805521,0.053561095,0.854805686,0.087517762,0.890170194,0.091186266,0.001333404,0.432336374,186,SI,10.1021/acsami.7b09227,2017,2017/8/17,ACS,Free Solvent Removed,FALSE,292.3,0.34399748,0.85,strong,
30,2017[Co][nan]3[FSR]2,am7b10757_si_002_FSR_pacman,-,[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.unknown.cat1;am7b10757_si_002_FSR_pacman,8.58796,4.10545,8.53074,1.01746,1482.64,1209.49,1188.73,0,0,0,6876.98,0.561,0.551371,0,0,0,3,unnamed,unnamed,unnamed,unnamed,2,3,-C 2yc,15,Co,No,N/A,PACMAN-DDEC6,9.704175388,0.940817387,0.023977592,1.042709742,0.044905092,1.088429397,0.053168727,0.001655178,0.504807143,774,SI,10.1021/acsami.7b10757,2017,2017/10/30,ACS,Free Solvent Removed,TRUE,343.1,0.86549366,0.796461538,none,
31,2017[Zn][pcu]3[FSR]1,am7b10884_si_005_FSR_pacman,-,O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)CCc1ccncc1 MOFid-v1.pcu.cat1;am7b10884_si_005_FSR_pacman,8.64973,6.50826,8.64973,0.845633,645.149,1810.16,2140.6,0,0,0,2312.35,0.6488,0.767236,0,0,0,3,pcu,unnamed,pcu,unnamed,2,3,-P 2n 2ab,60,Zn,Yes,Zn,PACMAN-DDEC6,10.31211273,0.891609488,0.021720887,1.020932511,0.042009087,1.087883676,0.052074454,0.001627846,0.514733585,176,SI,10.1021/acsami.7b10884,2017,2017/10/13,ACS,Free Solvent Removed,TRUE,323.9,0.755684,0.568968519,weak,
32,2018[Zn][nan]3[FSR]1,am7b17755_si_002_FSR_pacman,-,"[N]1[CH]C=C(C=C1)c1ccc(cc1)C(=C(c1ccc(cc1)C1=C[CH][N]C=C1)c1ccc(cc1)C1=C[CH][N]C=C1)c1ccc(cc1)C1=C[CH][N]C=C1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn] MOFid-v1.eta,ERROR.cat0;am7b17755_si_002_FSR_pacman",7.98999,5.66524,7.98999,0.867685,1181.92,1871.83,2157.27,0,0,0,3841.6,0.6084,0.701176,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Zn,No,N/A,PACMAN-DDEC6,9.480715517,0.9204391,0.025694963,1.032843084,0.054597414,1.085437649,0.065229973,0.001602992,0.519819314,348,SI,10.1021/acsami.7b17755,2018,2018/1/30,ACS,Free Solvent Removed,TRUE,unknown,unknown,unknown,weak,
